epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.008,1.40266,3.23368,1.15797,0.0167,0.57029,0.18178,0.1202,1.26901,3.32469,1.05827,0.00015003,0.00015003,0.00015003
2,73.7533,1.50362,2.07869,1.18102,0.84601,0.12299,0.25519,0.17023,1.41836,3.01916,1.12366,0.000306278,0.000306278,0.000306278
3,111.772,1.50799,1.62514,1.16192,0.81359,0.1513,0.21809,0.13788,1.4716,3.03786,1.18351,0.000451524,0.000451524,0.000451524
4,144.61,1.45745,1.58933,1.20009,0.42016,0.13514,0.13197,0.08616,1.53433,3.08813,1.2567,0.000585767,0.000585767,0.000585767
5,177.162,1.43787,1.52524,1.21699,0.92579,0.06722,0.2026,0.11773,1.56593,2.92255,1.29265,0.000709008,0.000709008,0.000709008
6,209.626,1.46605,1.52364,1.2226,0.6719,0.08388,0.23889,0.13085,1.55618,2.81477,1.3437,0.000821248,0.000821248,0.000821248
7,248.705,1.48173,1.49268,1.22592,0.56549,0.1461,0.25243,0.13255,1.62413,2.64306,1.36884,0.000922484,0.000922484,0.000922484
8,280.429,1.5344,1.47593,1.23874,0.67171,0.2729,0.36239,0.20213,1.6774,2.33357,1.43625,0.00101272,0.00101272,0.00101272
9,313.021,1.49429,1.45588,1.22246,0.67754,0.32312,0.38502,0.21545,1.67221,2.16848,1.43133,0.00109195,0.00109195,0.00109195
10,346.454,1.43351,1.39092,1.20587,0.75759,0.31344,0.4259,0.22566,1.79216,2.25613,1.45759,0.00116018,0.00116018,0.00116018
11,383.304,1.47009,1.39337,1.19677,0.70601,0.26032,0.34777,0.17943,1.76876,2.40377,1.40134,0.00111689,0.00111689,0.00111689
12,419.006,1.48317,1.41582,1.2248,0.58083,0.29167,0.32957,0.17221,1.78457,2.21561,1.40662,0.00106188,0.00106188,0.00106188
13,456.852,1.46805,1.38058,1.22177,0.54594,0.32228,0.3334,0.18037,1.72982,2.0411,1.37106,0.00100687,0.00100687,0.00100687
14,497.08,1.47855,1.3674,1.1955,0.61624,0.40326,0.43366,0.23408,1.66923,1.80761,1.3487,0.000951857,0.000951857,0.000951857
15,540.051,1.41375,1.33467,1.18966,0.68419,0.38225,0.44092,0.23688,1.66394,1.80254,1.36301,0.000896846,0.000896846,0.000896846
16,576.181,1.40636,1.30021,1.15321,0.66999,0.41812,0.46229,0.23998,1.69561,1.75903,1.37354,0.000841835,0.000841835,0.000841835
17,609.197,1.35055,1.27846,1.16881,0.69511,0.39853,0.46209,0.2335,1.70361,1.82658,1.35531,0.000786824,0.000786824,0.000786824
18,640.847,1.40458,1.3065,1.15939,0.60662,0.37337,0.44765,0.23151,1.72579,1.77205,1.37529,0.000731813,0.000731813,0.000731813
19,672.404,1.35827,1.22261,1.13456,0.69401,0.36702,0.46081,0.239,1.6965,1.67517,1.34645,0.000676802,0.000676802,0.000676802
20,704.122,1.31434,1.18241,1.13392,0.65392,0.41196,0.5009,0.27979,1.54178,1.50045,1.30732,0.000621791,0.000621791,0.000621791
21,734.985,1.35245,1.44514,1.13285,0.60487,0.40779,0.46438,0.25455,1.6724,1.55389,1.3957,0.00056678,0.00056678,0.00056678
22,765.782,1.31616,1.35934,1.15096,0.68412,0.43658,0.49407,0.27378,1.5835,1.62049,1.33051,0.000511769,0.000511769,0.000511769
23,796.997,1.29923,1.29886,1.12325,0.71275,0.46467,0.51484,0.28533,1.56802,1.53806,1.34429,0.000456758,0.000456758,0.000456758
24,828.217,1.21064,1.1947,1.09386,0.63919,0.42519,0.4833,0.27004,1.59415,1.50942,1.37738,0.000401747,0.000401747,0.000401747
25,859.54,1.22451,1.14831,1.07599,0.63337,0.44221,0.50088,0.28503,1.54926,1.47736,1.33716,0.000346736,0.000346736,0.000346736
26,890.572,1.20488,1.17911,1.07995,0.71551,0.44014,0.52159,0.28306,1.56436,1.51531,1.33075,0.000291725,0.000291725,0.000291725
27,921.532,1.20233,1.11549,1.05674,0.66501,0.48143,0.52726,0.2879,1.55907,1.50987,1.3214,0.000236714,0.000236714,0.000236714
28,952.499,1.18797,1.12556,1.05551,0.60132,0.48274,0.52741,0.29855,1.53236,1.43515,1.30431,0.000181703,0.000181703,0.000181703
29,983.364,1.13206,1.06824,1.04171,0.61677,0.48575,0.53361,0.30376,1.51041,1.39999,1.28117,0.000126692,0.000126692,0.000126692
30,1014.53,1.14935,1.07015,1.04735,0.65994,0.51062,0.54659,0.31246,1.49099,1.37087,1.26706,7.1681e-05,7.1681e-05,7.1681e-05
