epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2886,1.46543,3.19462,1.1454,0.01812,0.5416,0.27094,0.15252,1.4605,3.37044,1.05934,0.00015003,0.00015003,0.00015003
2,64.9447,1.52679,1.87342,1.14781,0.9449,0.10916,0.28611,0.17703,1.43918,3.15324,1.07547,0.000306278,0.000306278,0.000306278
3,103.428,1.41205,1.53746,1.1206,0.90133,0.06757,0.25233,0.14719,1.41961,3.08994,1.07188,0.000451524,0.000451524,0.000451524
4,146.525,1.41269,1.5012,1.19629,0.88434,0.04508,0.16056,0.09273,1.45826,3.23927,1.16119,0.000585767,0.000585767,0.000585767
5,186.129,1.3187,1.41683,1.164,0.87275,0.04589,0.09473,0.05954,1.64862,3.49296,1.35929,0.000709008,0.000709008,0.000709008
6,219.482,1.40725,1.32127,1.14133,0.68436,0.02045,0.04292,0.02772,1.69926,3.59429,1.43026,0.000821248,0.000821248,0.000821248
7,259.278,1.35671,1.3103,1.16926,0.40021,0.08457,0.13076,0.06853,1.65154,3.07709,1.34747,0.000922484,0.000922484,0.000922484
8,293.509,1.38709,1.2772,1.15662,0.18716,0.08183,0.0882,0.04441,1.63437,3.00383,1.29453,0.00101272,0.00101272,0.00101272
9,329.465,1.41947,1.26301,1.13579,0.13271,0.13999,0.08106,0.04212,1.75564,2.85542,1.35062,0.00109195,0.00109195,0.00109195
10,358.704,1.33338,1.27106,1.17044,0.14646,0.2747,0.11338,0.0557,1.73318,2.9364,1.30044,0.00116018,0.00116018,0.00116018
11,388.491,1.34599,1.25611,1.14569,0.65686,0.57045,0.60206,0.28613,1.64166,1.69538,1.24274,0.00111689,0.00111689,0.00111689
12,417.35,1.27144,1.13269,1.09168,0.59925,0.57012,0.60207,0.3134,1.59752,1.55053,1.20235,0.00106188,0.00106188,0.00106188
13,447.139,1.28951,1.20825,1.10227,0.62705,0.5095,0.58778,0.31767,1.59852,1.63508,1.22924,0.00100687,0.00100687,0.00100687
14,475.777,1.23337,1.08853,1.08987,0.69867,0.46337,0.569,0.29752,1.67876,1.68883,1.28032,0.000951857,0.000951857,0.000951857
15,504.597,1.21559,1.10873,1.08968,0.67112,0.51351,0.582,0.32114,1.63346,1.63293,1.26328,0.000896846,0.000896846,0.000896846
16,536.326,1.20234,1.01159,1.04405,0.65676,0.57253,0.62039,0.32692,1.64868,1.55351,1.25014,0.000841835,0.000841835,0.000841835
17,577.777,1.19567,1.05309,1.08205,0.68559,0.55311,0.59381,0.31437,1.65538,1.64622,1.29388,0.000786824,0.000786824,0.000786824
18,619.54,1.24304,1.04032,1.09307,0.74453,0.56568,0.64089,0.35927,1.55035,1.48162,1.21511,0.000731813,0.000731813,0.000731813
19,657.669,1.18245,1.00916,1.07575,0.72448,0.59882,0.6892,0.39048,1.52817,1.34251,1.18291,0.000676802,0.000676802,0.000676802
20,700.731,1.1808,1.01566,1.07456,0.73361,0.62443,0.71437,0.39409,1.54043,1.31052,1.19366,0.000621791,0.000621791,0.000621791
21,740.09,1.13745,1.07422,1.04928,0.78986,0.58839,0.70335,0.39949,1.54301,1.42329,1.20742,0.00056678,0.00056678,0.00056678
22,772.34,1.14496,1.04399,1.04282,0.7583,0.66616,0.75593,0.41575,1.54158,1.29266,1.21679,0.000511769,0.000511769,0.000511769
23,800.175,1.10782,1.00045,1.02732,0.79261,0.65709,0.76626,0.41653,1.52347,1.25912,1.19214,0.000456758,0.000456758,0.000456758
24,829.961,1.0424,0.96318,1.00828,0.66583,0.72424,0.74293,0.42056,1.48624,1.22931,1.16477,0.000401747,0.000401747,0.000401747
25,860.476,1.04655,0.92347,1.02414,0.72436,0.67057,0.73946,0.41398,1.48117,1.23697,1.17287,0.000346736,0.000346736,0.000346736
26,888.929,1.03384,1.02097,1.00055,0.72357,0.72418,0.75739,0.42378,1.48545,1.19024,1.17781,0.000291725,0.000291725,0.000291725
27,916.706,1.07202,0.95389,1.03252,0.73196,0.73706,0.76681,0.4306,1.48121,1.18183,1.16836,0.000236714,0.000236714,0.000236714
28,944.922,1.01097,0.87645,0.99636,0.7019,0.73775,0.76742,0.43304,1.47042,1.16913,1.16603,0.000181703,0.000181703,0.000181703
29,973.213,0.98131,0.87546,0.98512,0.79547,0.64533,0.77037,0.42839,1.47825,1.16003,1.16748,0.000126692,0.000126692,0.000126692
30,1000.96,0.97861,0.85329,0.97446,0.78683,0.67103,0.77365,0.43169,1.48328,1.14965,1.16746,7.1681e-05,7.1681e-05,7.1681e-05
