epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5226,1.2985,3.00729,1.33918,0.00932,0.52647,0.22227,0.15803,1.30368,3.35157,1.17709,0.00015003,0.00015003,0.00015003
2,66.783,1.27994,2.14971,1.33939,0.01084,0.62109,0.09664,0.05032,1.42304,3.31547,1.26643,0.000306278,0.000306278,0.000306278
3,97.9131,1.28605,1.80555,1.32843,0.92681,0.10807,0.22429,0.14135,1.46271,3.15226,1.31258,0.000451524,0.000451524,0.000451524
4,129.062,1.28334,1.76361,1.36203,0.35735,0.16667,0.19714,0.12157,1.52691,3.02918,1.4528,0.000585767,0.000585767,0.000585767
5,160.275,1.29979,1.71005,1.3832,0.47394,0.19062,0.20138,0.1196,1.63149,3.04058,1.56548,0.000709008,0.000709008,0.000709008
6,191.048,1.29279,1.65178,1.3566,0.35458,0.20298,0.17903,0.10903,1.68633,3.05728,1.60218,0.000821248,0.000821248,0.000821248
7,221.905,1.24787,1.59666,1.35112,0.45879,0.21191,0.21907,0.13113,1.71258,3.07777,1.67793,0.000922484,0.000922484,0.000922484
8,253.414,1.27653,1.55763,1.32401,0.36518,0.18789,0.19813,0.11921,1.79722,3.09449,1.72867,0.00101272,0.00101272,0.00101272
9,294.207,1.23813,1.55817,1.34956,0.34975,0.20434,0.21402,0.1131,1.81632,3.05005,1.68927,0.00109195,0.00109195,0.00109195
10,343.683,1.2563,1.51144,1.33021,0.37723,0.24432,0.24447,0.13881,1.71883,2.74132,1.58795,0.00116018,0.00116018,0.00116018
11,391.965,1.22844,1.50073,1.33627,0.4053,0.23274,0.22046,0.13161,1.82685,3.01767,1.72676,0.00111689,0.00111689,0.00111689
12,436.829,1.27435,1.56656,1.35703,0.35201,0.22556,0.19288,0.11258,1.75012,3.02575,1.61281,0.00106188,0.00106188,0.00106188
13,477.87,1.21872,1.4561,1.34842,0.34393,0.28518,0.21943,0.11571,1.77163,2.65201,1.62252,0.00100687,0.00100687,0.00100687
14,521.797,1.24174,1.46882,1.33688,0.33626,0.36164,0.27752,0.14996,1.71152,2.33354,1.59409,0.000951857,0.000951857,0.000951857
15,563.319,1.19854,1.39664,1.28166,0.34015,0.38322,0.29256,0.14901,1.72644,2.31137,1.58614,0.000896846,0.000896846,0.000896846
16,605.112,1.17205,1.36036,1.26296,0.30041,0.31879,0.27653,0.14519,1.7413,2.62771,1.62852,0.000841835,0.000841835,0.000841835
17,650.994,1.18837,1.37391,1.29987,0.52116,0.21668,0.24082,0.12073,1.81564,2.77443,1.70607,0.000786824,0.000786824,0.000786824
18,697.084,1.15411,1.33145,1.27456,0.34534,0.29708,0.25738,0.15056,1.74052,2.6411,1.60954,0.000731813,0.000731813,0.000731813
19,740.748,1.10052,1.27933,1.22596,0.44039,0.28522,0.29182,0.16754,1.75025,2.46468,1.59595,0.000676802,0.000676802,0.000676802
20,787.421,1.13184,1.28883,1.25573,0.41137,0.34005,0.32938,0.19848,1.68401,2.21134,1.54506,0.000621791,0.000621791,0.000621791
21,834.402,1.19881,1.6673,1.28684,0.50167,0.31672,0.30021,0.16734,1.71599,2.34617,1.58118,0.00056678,0.00056678,0.00056678
22,880.304,1.15506,1.57274,1.26863,0.43789,0.32492,0.30065,0.173,1.72232,2.3019,1.58179,0.000511769,0.000511769,0.000511769
23,925.744,1.1654,1.46584,1.24282,0.46839,0.4058,0.37375,0.22647,1.68168,2.12514,1.53873,0.000456758,0.000456758,0.000456758
24,970.67,1.11944,1.40706,1.24169,0.45392,0.42567,0.39955,0.2542,1.62757,1.98623,1.4712,0.000401747,0.000401747,0.000401747
25,1001.18,1.06224,1.33639,1.18232,0.44068,0.39895,0.38509,0.24763,1.64936,1.98633,1.47782,0.000346736,0.000346736,0.000346736
26,1031.55,1.05439,1.31753,1.20154,0.47101,0.36888,0.36864,0.2371,1.61245,2.13083,1.45462,0.000291725,0.000291725,0.000291725
27,1061.83,1.05006,1.25468,1.16293,0.45437,0.39147,0.37053,0.24614,1.59816,2.14969,1.45461,0.000236714,0.000236714,0.000236714
28,1092.52,1.02038,1.25544,1.16698,0.46916,0.40901,0.39148,0.26497,1.58012,2.05805,1.43517,0.000181703,0.000181703,0.000181703
29,1125.4,1.016,1.21982,1.15281,0.45153,0.42571,0.39659,0.26932,1.59907,2.03093,1.44044,0.000126692,0.000126692,0.000126692
30,1166.43,0.97859,1.18821,1.12957,0.47356,0.43135,0.40544,0.27202,1.61342,2.01701,1.45062,7.1681e-05,7.1681e-05,7.1681e-05
